DATE,TOTALDEMAND,PRICECATEGORY
1/01/2021,5019.64,LOW
1/02/2021,5228.29,MEDIUM
1/03/2021,5225.37,LOW
1/04/2021,5807.02,MEDIUM
1/05/2021,5261.09,MEDIUM
1/06/2021,6945.56,EXTREME
1/07/2021,6752.13,HIGH
1/08/2021,6526.06,EXTREME
1/09/2021,4811.27,MEDIUM
10/01/2021,6859.02,MEDIUM
10/02/2021,7009.15,MEDIUM
10/03/2021,5538.74,MEDIUM
10/04/2021,5366.73,MEDIUM
10/05/2021,6352.55,EXTREME
10/06/2021,6516.17,EXTREME
10/07/2021,6825.14,EXTREME
10/08/2021,6234.67,HIGH
11/01/2021,8182.55,MEDIUM
11/02/2021,7153.92,MEDIUM
11/03/2021,5626.12,MEDIUM
11/04/2021,5829.16,MEDIUM
11/05/2021,6578.07,EXTREME
11/06/2021,6784.83,EXTREME
11/07/2021,6511.44,HIGH
11/08/2021,6687.69,MEDIUM
12/01/2021,5349.3,MEDIUM
12/02/2021,5460.87,LOW
12/03/2021,6115.65,HIGH
12/04/2021,6415.58,HIGH
12/05/2021,6406.0,EXTREME
12/06/2021,6062.58,EXTREME
12/07/2021,7095.0,HIGH
12/08/2021,6537.7,HIGH
13/01/2021,6522.49,HIGH
13/02/2021,4729.81,LOW
13/03/2021,4898.9,LOW
13/04/2021,5990.97,LOW
13/05/2021,6679.05,HIGH
13/06/2021,6112.1,HIGH
13/07/2021,7174.57,EXTREME
13/08/2021,6300.74,MEDIUM
14/01/2021,5257.95,MEDIUM
14/02/2021,4710.32,LOW
14/03/2021,4920.14,LOW
14/04/2021,5731.88,HIGH
14/05/2021,6493.23,MEDIUM
14/06/2021,6366.51,HIGH
14/07/2021,7175.95,EXTREME
14/08/2021,6049.06,HIGH
15/01/2021,4742.85,MEDIUM
15/02/2021,5719.51,LOW
15/03/2021,5619.41,LOW
15/04/2021,5936.95,MEDIUM
15/05/2021,6319.27,HIGH
15/06/2021,6927.87,EXTREME
15/07/2021,6715.55,HIGH
15/08/2021,5661.48,MEDIUM
16/01/2021,4529.66,LOW
16/02/2021,6816.18,MEDIUM
16/03/2021,5580.93,MEDIUM
16/04/2021,6202.21,MEDIUM
16/05/2021,6066.36,MEDIUM
16/06/2021,7031.11,HIGH
16/07/2021,6745.77,HIGH
16/08/2021,6595.54,MEDIUM
17/01/2021,4473.05,MEDIUM
17/02/2021,7230.71,MEDIUM
17/03/2021,5765.54,MEDIUM
17/04/2021,5450.82,HIGH
17/05/2021,6856.41,EXTREME
17/06/2021,7286.57,EXTREME
17/07/2021,6486.18,MEDIUM
17/08/2021,6849.04,EXTREME
18/01/2021,4895.82,LOW
18/02/2021,7508.61,MEDIUM
18/03/2021,5691.57,MEDIUM
18/04/2021,5572.65,EXTREME
18/05/2021,6809.87,EXTREME
18/06/2021,6838.24,HIGH
18/07/2021,6759.22,EXTREME
18/08/2021,6788.59,EXTREME
19/01/2021,4816.53,LOW
19/02/2021,7804.22,HIGH
19/03/2021,5467.08,MEDIUM
19/04/2021,5937.22,HIGH
19/05/2021,6450.43,EXTREME
19/06/2021,6263.41,EXTREME
19/07/2021,7130.82,EXTREME
19/08/2021,6344.8,HIGH
2/01/2021,4964.35,LOW
2/02/2021,5133.34,LOW
2/03/2021,5459.22,LOW
2/04/2021,5439.82,MEDIUM
2/05/2021,5289.07,MEDIUM
2/06/2021,6564.7,EXTREME
2/07/2021,6851.32,EXTREME
2/08/2021,6914.27,MEDIUM
20/01/2021,5291.48,MEDIUM
20/02/2021,5984.31,LOW
20/03/2021,4748.83,LOW
20/04/2021,6632.03,HIGH
20/05/2021,6763.11,HIGH
20/06/2021,6628.57,EXTREME
20/07/2021,7556.79,HIGH
20/08/2021,6331.48,MEDIUM
21/01/2021,7046.57,MEDIUM
21/02/2021,5031.1,LOW
21/03/2021,4958.01,MEDIUM
21/04/2021,6539.68,EXTREME
21/05/2021,6736.74,EXTREME
21/06/2021,7247.87,EXTREME
21/07/2021,7391.37,EXTREME
21/08/2021,5705.47,MEDIUM
22/01/2021,5954.97,MEDIUM
22/02/2021,5100.4,LOW
22/03/2021,5561.02,HIGH
22/04/2021,6464.1,HIGH
22/05/2021,6108.91,EXTREME
22/06/2021,7162.85,EXTREME
22/07/2021,7536.62,EXTREME
22/08/2021,5325.33,MEDIUM
23/01/2021,6220.45,MEDIUM
23/02/2021,5213.07,LOW
23/03/2021,5618.16,EXTREME
23/04/2021,6154.8,EXTREME
23/05/2021,5999.22,EXTREME
23/06/2021,7077.89,HIGH
23/07/2021,7329.83,EXTREME
23/08/2021,6708.96,HIGH
24/01/2021,8050.72,HIGH
24/02/2021,5459.82,LOW
24/03/2021,5549.13,MEDIUM
24/04/2021,5763.75,HIGH
24/05/2021,6354.64,MEDIUM
24/06/2021,6787.77,EXTREME
24/07/2021,6492.94,HIGH
24/08/2021,6717.65,HIGH
25/01/2021,8196.83,HIGH
25/02/2021,5504.37,LOW
25/03/2021,5385.08,HIGH
25/04/2021,5835.47,HIGH
25/05/2021,6347.45,HIGH
25/06/2021,6855.19,HIGH
25/07/2021,6817.65,HIGH
25/08/2021,6736.8,EXTREME
26/01/2021,5035.74,MEDIUM
26/02/2021,5401.33,MEDIUM
26/03/2021,5651.13,MEDIUM
26/04/2021,6436.32,EXTREME
26/05/2021,6801.36,EXTREME
26/06/2021,6404.33,HIGH
26/07/2021,6763.92,HIGH
26/08/2021,7126.76,EXTREME
27/01/2021,5221.53,LOW
27/02/2021,4836.05,MEDIUM
27/03/2021,4860.61,MEDIUM
27/04/2021,6487.76,EXTREME
27/05/2021,6551.0,HIGH
27/06/2021,6381.64,HIGH
27/07/2021,6646.82,HIGH
27/08/2021,6769.89,EXTREME
28/01/2021,5398.66,LOW
28/02/2021,5197.76,LOW
28/03/2021,5019.74,MEDIUM
28/04/2021,6461.27,EXTREME
28/05/2021,6887.79,EXTREME
28/06/2021,7214.06,EXTREME
28/07/2021,7125.58,HIGH
28/08/2021,5716.32,MEDIUM
29/01/2021,5737.11,MEDIUM
29/03/2021,5536.91,MEDIUM
29/04/2021,6405.5,EXTREME
29/05/2021,6441.38,EXTREME
29/06/2021,6950.26,HIGH
29/07/2021,6990.16,EXTREME
29/08/2021,6227.89,EXTREME
3/01/2021,4503.31,LOW
3/02/2021,5344.15,LOW
3/03/2021,5526.41,MEDIUM
3/04/2021,5723.27,MEDIUM
3/05/2021,6183.0,MEDIUM
3/06/2021,6421.12,EXTREME
3/07/2021,6972.85,MEDIUM
3/08/2021,7197.61,MEDIUM
30/01/2021,4742.37,LOW
30/03/2021,5826.39,HIGH
30/04/2021,5887.34,MEDIUM
30/05/2021,6783.18,EXTREME
30/06/2021,6648.79,HIGH
30/07/2021,6684.48,HIGH
30/08/2021,6072.91,HIGH
31/01/2021,4709.83,LOW
31/03/2021,5769.1,MEDIUM
31/05/2021,7042.12,HIGH
31/07/2021,6018.75,HIGH
31/08/2021,5779.56,MEDIUM
4/01/2021,4764.18,LOW
4/02/2021,6015.71,LOW
4/03/2021,5528.66,LOW
4/04/2021,5014.06,MEDIUM
4/05/2021,6663.33,HIGH
4/06/2021,6934.53,EXTREME
4/07/2021,6849.08,HIGH
4/08/2021,6831.32,HIGH
5/01/2021,4800.64,LOW
5/02/2021,5852.98,LOW
5/03/2021,5319.54,LOW
5/04/2021,5078.44,MEDIUM
5/05/2021,6389.08,MEDIUM
5/06/2021,6484.85,HIGH
5/07/2021,7629.77,EXTREME
5/08/2021,6416.19,MEDIUM
6/01/2021,4691.13,LOW
6/02/2021,4636.36,LOW
6/03/2021,4839.75,LOW
6/04/2021,5573.79,MEDIUM
6/05/2021,6342.41,EXTREME
6/06/2021,6192.29,EXTREME
6/07/2021,7281.69,EXTREME
6/08/2021,6650.37,HIGH
7/01/2021,4994.78,LOW
7/02/2021,4573.98,LOW
7/03/2021,5044.14,MEDIUM
7/04/2021,5876.07,HIGH
7/05/2021,5957.64,EXTREME
7/06/2021,6614.71,HIGH
7/07/2021,7349.58,EXTREME
7/08/2021,6419.69,EXTREME
8/01/2021,5365.19,MEDIUM
8/02/2021,5047.36,LOW
8/03/2021,5266.54,MEDIUM
8/04/2021,5978.02,MEDIUM
8/05/2021,5517.34,HIGH
8/06/2021,7228.52,EXTREME
8/07/2021,7685.69,EXTREME
8/08/2021,6477.76,EXTREME
9/01/2021,5863.37,MEDIUM
9/02/2021,5511.16,MEDIUM
9/03/2021,5527.62,MEDIUM
9/04/2021,5688.63,MEDIUM
9/05/2021,5222.89,MEDIUM
9/06/2021,7224.91,MEDIUM
9/07/2021,7536.11,EXTREME
9/08/2021,6675.69,HIGH
