max_total_demand,max_price_category,temperature_avg,rainfall,evaporation,sunshine,max_wind_direction,max_wind_speed,max_wind_time,temperature_9am,humidity_9am,cloud_9am,wind_direction_9am,wind_speed_9am,pressure_9am,temperature_3pm,humidity_3pm,cloud_3pm,wind_direction_3pm,wind_speed_3pm,pressure_3pm
5261.09,MEDIUM,17.9,0,5.4,7.1,N,33,12:48,14.9,63,3,NNE,9,1027.3,24.2,35,7,N,17,1024.4
5289.07,MEDIUM,19.9,0,6.4,3.8,N,39,2:18,17.5,59,7,NNE,7,1023.3,25.3,36,2,N,20,1018.9
6183,MEDIUM,15.4,0.2,6.8,0.8,S,28,6:35,15,80,7,SW,7,1019.6,17,74,7,SSW,9,1017.6
6663.33,HIGH,12.5,30.8,4.6,0.1,S,39,2:46,12,100,7,CALM,0,1019.9,14.4,78,8,S,19,1021.5
6389.08,MEDIUM,12.3,0,0.8,9.1,SSW,30,12:37,12.2,83,1,CALM,0,1026,17,52,5,SSW,9,1023.4
6342.41,EXTREME,14.9,0,2,8.4,SSE,19,12:01,10.8,83,1,NE,6,1021.6,21.6,56,1,WNW,2,1016.8
5957.64,EXTREME,16,0.2,2.4,3.6,NE,15,6:35,13.9,91,4,N,7,1014.8,20.2,37,6,CALM,0,1011.3
5517.34,HIGH,14.9,0,2.8,5.1,SW,24,4:55,15.1,76,2,W,4,1013.9,17.3,69,7,SSW,6,1013.4
5222.89,MEDIUM,15.8,0.4,0,7.1,NW,28,1:06,13.7,97,6,CALM,0,1018.4,19.5,45,3,WNW,6,1014.9
6352.55,EXTREME,14.3,0.2,3.8,0.5,N,41,1:18,14.3,68,7,N,19,1010.2,16.2,56,7,NNW,13,1007.6
6578.07,EXTREME,13.5,15.8,2.8,0.1,S,41,4:50,12.2,100,8,SSW,9,1018.7,15.7,71,7,SE,17,1021.3
6406,EXTREME,12.9,0.8,2.6,8.8,SSE,24,3:04,11,84,3,NNE,7,1024.8,17.9,52,1,CALM,0,1019.6
6679.05,HIGH,12.9,0,1.2,1,NNW,39,11:57,14,65,7,N,15,1012.5,13.1,90,8,NW,9,1011.1
6493.23,MEDIUM,11.7,4.2,2.4,4.5,W,35,11:04,11.5,71,3,NW,11,1014.5,13.5,67,3,WSW,6,1013.6
6319.27,HIGH,10.1,7.4,2.4,7.5,SSW,54,4:25,8.6,72,4,W,13,1018.1,11.9,59,6,SSW,11,1020.5
6066.36,MEDIUM,11.9,0.2,3,3.2,NW,35,2:15,10.3,67,6,N,11,1021.8,14.5,59,7,NW,11,1019.1
6856.41,EXTREME,12.8,0.4,0.6,7.1,SW,30,1:39,11.8,85,2,WSW,9,1024.7,14.2,53,6,SSW,11,1025.4
6809.87,EXTREME,13,0,1.8,0.7,NW,20,11:17,11.4,77,7,NE,9,1029.1,15.6,57,7,NNW,6,1026.5
6450.43,EXTREME,14.2,0,3.6,6.7,N,39,2:45,12.5,70,2,N,15,1027.6,17.9,45,7,NNW,13,1024.3
6763.11,HIGH,14,0,4,0.2,N,37,1:01,12.7,62,7,N,17,1025.8,16.7,55,7,SW,4,1026.3
6736.74,EXTREME,12,0,1.6,8.9,NNE,15,8:39,7.2,100,1,NNE,11,1031.9,16.4,44,1,SSW,7,1028.6
6108.91,EXTREME,11.4,0,3,9.3,N,35,12:19,6.8,77,1,NNE,7,1027,18.9,36,0,N,13,1023.6
5999.22,EXTREME,13.1,0,3.4,8.8,NNW,24,1:50,8.7,78,3,NNE,11,1027.4,20.1,42,3,NNE,13,1024.9
6354.64,MEDIUM,13.4,0,2.6,4.8,NE,31,12:40,10.7,73,7,NE,9,1027.4,18.4,47,6,N,13,1023.4
6347.45,HIGH,15.8,0,5.6,3.2,N,57,12:48,18.4,50,6,NNE,20,1015.3,15.5,76,8,N,22,1009.6
6801.36,EXTREME,13.3,5,3.4,1.4,WNW,39,5:45,13.1,60,7,WNW,11,1016.9,13.9,53,7,W,11,1019.7
6551,HIGH,12.4,0.4,1.6,0.6,W,33,2:15,11.3,94,7,SSW,4,1025.9,14.2,73,7,WSW,11,1025.3
6887.79,EXTREME,12.4,0.4,0.4,0.5,S,39,7:07,12.2,60,7,S,15,1031.8,12.7,59,7,S,11,1032.4
6441.38,EXTREME,11.8,0,2,4.1,SSE,26,2:41,11.3,58,7,SSE,6,1034.2,12.7,55,5,S,13,1032.3
6783.18,EXTREME,8.1,0,2.4,8.9,NNE,17,11:16,3,94,1,NNE,9,1031.5,14.1,48,4,NE,4,1028.8
7042.12,HIGH,9.6,0,2.2,9.1,NNE,31,3:39,5.7,76,0,NNE,11,1025.2,15.7,48,2,NNE,17,1021.6
6945.56,EXTREME,10.7,0,4,1.3,N,39,11:32,9.2,60,8,NNE,13,1020.8,15.3,48,7,N,17,1019.4
6564.7,EXTREME,14.4,0,3.2,7.7,NNW,33,1:14,12.4,63,1,N,9,1018.8,19,44,5,N,11,1015.2
6421.12,EXTREME,13.6,0.2,3.4,7.5,N,24,1:09,12.2,93,2,NE,7,1015.1,16.7,62,5,SSW,9,1012.9
6934.53,EXTREME,11.8,2,1.2,2,S,37,3:23,10.9,81,3,SW,7,1017,11.9,66,7,W,7,1018.5
6484.85,HIGH,8.4,0,1.4,3.5,N,52,2:43,6.7,74,7,N,11,1021.4,12,57,7,N,26,1017.6
6192.29,EXTREME,10.7,0,2.6,4.2,N,39,12:17,11,81,7,N,17,1022.2,13.6,73,5,N,17,1019.9
6614.71,HIGH,14,0,1,2.6,N,59,2:39,12.5,73,7,N,22,1016.7,16.5,55,7,N,28,1009.3
7228.52,EXTREME,11.3,3,4.8,2.3,N,48,12:39,9.3,89,7,NNE,9,1005,11.1,72,7,W,11,1004.8
7224.91,MEDIUM,11.3,4,1.6,0.5,S,67,11:47,9.7,83,7,SSW,4,1010.7,12.3,86,8,S,20,1008.8
6516.17,EXTREME,12.4,12,3.6,0.3,S,67,12:33,14.5,78,8,SSE,30,1009.5,14.3,71,7,ESE,11,1009.8
6784.83,EXTREME,10.9,0.4,0.4,1.3,WNW,22,11:37,7.9,100,7,N,6,1016,14.6,80,7,SSW,7,1013.7
6062.58,EXTREME,12,9.4,0.4,1,WNW,33,12:32,12.7,85,7,WNW,7,1014.4,15.5,61,7,W,11,1014
6112.1,HIGH,13.4,0,1.4,0.7,NNW,17,10:49,11.7,86,7,CALM,0,1018.8,14.3,69,7,S,6,1016.8
6366.51,HIGH,13,0,1.4,1.6,ESE,15,4:16,11,89,7,NNE,7,1018,15.9,57,6,SSE,6,1015.5
6927.87,EXTREME,11.3,0,0.8,0,N,24,5:27,8.5,89,7,NNE,7,1017.5,15,60,7,NNE,9,1014.5
7031.11,HIGH,12.2,1.8,2.2,2.9,NNW,41,12:56,11.5,88,7,NNE,13,1011.4,15.4,60,7,N,15,1008.1
7286.57,EXTREME,10.4,0.8,1,2.6,N,20,7:03,9.4,83,7,N,9,1010.5,12.4,70,7,N,4,1008.8
6838.24,HIGH,9.6,1.6,1.8,0.1,SSW,26,1:15,9.4,100,7,S,2,1012.6,12.5,98,7,SSW,9,1014.4
6263.41,EXTREME,12.6,2.2,1.6,4,SE,28,10:38,11.4,100,7,S,6,1024.5,13.4,86,6,SSW,13,1025.1
6628.57,EXTREME,9.9,0,0,6.9,SE,20,10:40,9.1,100,1,E,4,1027.8,13.8,69,2,CALM,0,1025.4
7247.87,EXTREME,9.7,0.2,0.4,9.1,N,26,12:22,6.3,94,1,NE,7,1028.7,14.6,51,1,N,15,1025.8
7162.85,EXTREME,10,0,2,1.9,NNE,28,1:37,5.6,91,7,NNE,6,1029.6,14.4,56,7,NNE,13,1026.2
7077.89,HIGH,10.5,0,2.7,2.1,N,46,10:33,13.9,63,8,N,9,1019.4,14.8,67,7,N,17,1012.5
6787.77,EXTREME,13.3,0,1,5.2,N,41,12:07,12.6,85,1,N,6,1007.2,15.3,54,7,N,17,1004.9
6855.19,HIGH,11.9,0.6,2.4,0.3,N,37,12:05,11,88,7,N,13,1010.3,12.6,94,7,CALM,0,1011.1
6404.33,HIGH,11.7,5.6,0.2,4.6,NNW,28,10:26,10.5,79,3,W,9,1019.9,12.4,56,3,WSW,9,1020.1
6381.64,HIGH,12.5,0,2.4,4.9,NNW,26,1:43,10.9,81,5,N,11,1025.9,13.6,75,5,SSW,9,1027
7214.06,EXTREME,10.8,0,1.4,9,NNW,24,12:27,7.8,97,1,NNE,7,1032.8,14.6,53,1,NNE,9,1031
6950.26,HIGH,10.5,0,2.2,8.8,NNW,43,2:12,6.8,88,1,NE,2,1032.5,16.2,55,2,N,19,1029.4
6648.79,HIGH,11.2,0,1.2,6.8,N,39,2:04,11.3,79,1,NNE,9,1026.8,16.8,57,1,N,19,1022.6
6752.13,HIGH,13.9,0,1.4,8.9,NNW,35,12:17,12.3,86,1,N,11,1022.3,16.6,58,1,N,20,1019.1
6851.32,EXTREME,12.1,0.2,2.8,1.7,N,43,3:02,12.7,83,6,N,9,1014.6,14.4,72,7,N,22,1010.4
6972.85,MEDIUM,8.6,6.6,2.8,4.5,N,43,1:45,7.9,75,5,N,19,1016.3,9.8,63,5,NNW,22,1014.9
6849.08,HIGH,9.8,0.2,1.2,3.5,NNW,46,2:32,7.7,79,3,N,20,1016.4,12.2,67,7,NW,17,1015.3
7629.77,EXTREME,8.9,0.4,1.6,1.9,SSW,22,12:47,6.8,82,7,NE,9,1022.7,12.7,66,7,SW,7,1021.5
7281.69,EXTREME,10,0,1,0.6,NW,20,3:16,8.7,74,7,N,9,1023.4,12.9,55,7,NNW,11,1022.2
7349.58,EXTREME,10,0,0.8,2.2,N,16,12:43,7.8,74,6,NE,9,1026,12,49,7,NW,6,1023.8
7685.69,EXTREME,8.3,0,1.8,8.3,NE,24,12:43,6.8,70,2,NE,1,1021.5,12,55,6,NE,9,1019.4
7536.11,EXTREME,7,0,1,9,NNE,15,10:29,4.6,92,4,NE,4,1017.9,11,67,2,SSW,7,1015.7
6825.14,EXTREME,8.7,0,0.8,6.6,NE,15,10:33,5,100,7,NNE,6,1024.4,12.1,80,1,SSW,9,1024.4
6511.44,HIGH,10.6,0,0.8,5.7,N,43,1:34,6.5,100,3,NNE,13,1025.9,14.4,52,7,N,20,1022.2
7095,HIGH,11,0,3,5.1,N,50,12:55,11.4,71,7,N,13,1018.1,15.8,44,1,N,24,1013.6
7174.57,EXTREME,11.7,0.4,2.4,2.4,N,37,11:20,10.7,84,7,N,11,1014.2,13.8,69,7,N,19,1011.7
7175.95,EXTREME,11.9,2.2,3,0.5,N,44,5:56,10.3,84,7,N,13,1005,13.4,73,7,N,24,1000.8
6715.55,HIGH,13.6,3,1.6,7,N,43,12:40,12.3,84,5,N,17,1000,16.4,67,4,N,22,996.6
6745.77,HIGH,13.1,0.2,0.8,2.4,NNW,41,12:08,11.1,75,7,N,17,989.7,13.8,60,5,WNW,6,989
6486.18,MEDIUM,10.6,0.2,2.8,0.8,NNW,33,7:56,8.7,67,7,N,13,992.8,13.2,66,7,W,11,996.7
6759.22,EXTREME,11.4,4.2,1,3,WNW,28,1:03,10.4,83,3,NW,9,1014.5,13,65,7,SW,7,1015.1
7130.82,EXTREME,11.1,0,1.8,2.9,NNW,31,2:00,10.4,72,7,N,13,1016.2,12.2,72,7,N,11,1012.5
7556.79,HIGH,10.7,0.6,2.2,0.3,SW,54,5:18,10.8,80,7,N,13,1005.2,8.6,86,8,SSW,13,1007.4
7391.37,EXTREME,10.1,10.8,1.6,2.8,WSW,31,12:37,8.9,80,7,W,6,1020.5,12,69,6,WSW,7,1019
7536.62,EXTREME,8.5,0.6,2.6,0.1,NNW,46,2:11,7.8,88,7,N,17,1015.8,10.5,66,7,N,22,1010.7
7329.83,EXTREME,9.6,0,0.6,1.5,N,31,1:36,8.2,80,7,N,7,1006.8,10.9,64,7,N,13,1003.6
6492.94,HIGH,11,0,1.4,3.4,NNW,48,2:46,9.5,78,7,N,19,998.2,13.9,53,5,NNW,19,995.3
6817.65,HIGH,9.4,0.8,3.6,7.2,NNW,48,2:35,8.1,60,1,NW,19,1003.6,12.5,47,7,NW,13,1004.8
6763.92,HIGH,12.3,0,1,2.9,NNW,43,10:41,12.4,75,7,N,13,1010.9,15.8,62,7,NNW,20,1009.7
6646.82,HIGH,13.6,0,3.4,4.3,N,67,9:40,11.1,67,2,N,19,1011.1,16.4,48,7,N,26,1003.7
7125.58,HIGH,14,0,5.4,4.7,NNW,50,5:28,14.3,70,6,N,13,998.2,12,65,7,WNW,11,998.4
6990.16,EXTREME,11.1,0.8,3.4,7.8,NNW,41,2:41,8.7,67,6,NNW,19,1013.5,14.9,52,1,NNW,17,1013.5
6684.48,HIGH,11.5,0,2.6,6.4,N,61,10:32,9.9,59,1,NNE,19,1015.1,13.6,49,7,N,26,1011
6018.75,HIGH,14,0,7,6.3,N,54,1:23,13.1,54,1,N,20,1006.1,17.1,48,6,N,22,1002
6526.06,EXTREME,11.9,18,6.8,9,NNW,30,12:08,11.1,72,1,NW,9,1010.6,14.6,42,3,W,9,1011.5
6914.27,MEDIUM,11,0,2.8,9.1,N,50,1:45,10.2,67,1,NNE,15,1016.2,15.2,43,3,NNW,24,1011.5
7197.61,MEDIUM,11.6,4.8,2.6,4.1,NNW,35,12:23,10.6,77,2,N,9,1008.1,13.3,53,6,WNW,15,1007.7
6831.32,HIGH,11.2,0.6,1.8,3.4,WSW,31,12:09,10.2,78,7,W,11,1016,14.3,67,7,W,9,1015.5
6416.19,MEDIUM,12.8,0.4,1.6,3.9,WNW,31,2:49,11.8,80,7,WNW,11,1021.7,15.2,63,7,W,15,1020.1
6650.37,HIGH,12.5,0.2,2.2,0.6,NNW,28,8:22,12.1,74,7,WNW,9,1024.5,13.9,60,8,NW,13,1023.1
6419.69,EXTREME,13,0,1.6,2.4,NW,30,6:10,11.2,75,7,NW,11,1026.9,13.2,75,7,SSW,11,1026.4
6477.76,EXTREME,11.1,0.6,1.2,5.5,N,17,8:51,7.2,100,1,N,11,1032.6,14.6,58,7,S,6,1029.3
6675.69,HIGH,11.8,0,2.8,2.7,N,30,1:56,9.1,82,7,NNE,9,1028.1,15.1,60,6,NNW,19,1023.3
6234.67,HIGH,13.4,0,2.4,8.1,N,52,11:11,12.4,77,6,N,19,1022.4,17.5,45,6,N,24,1017.9
6687.69,MEDIUM,15.8,0,7,3.6,NNW,54,1:44,14.4,47,5,N,28,1012.2,16.7,44,8,WNW,17,1009.8
6537.7,HIGH,12.4,2.8,4.4,4.7,NNW,31,10:24,10.6,71,7,N,11,1025.2,15.4,50,7,W,13,1024.3
6300.74,MEDIUM,12.9,0,1.2,10.1,NW,33,1:04,11.8,73,1,N,15,1026.9,17.1,44,3,W,9,1025.1
6049.06,HIGH,12.6,0,3.4,7.8,NNW,31,3:01,10.9,78,1,N,11,1028.7,17.3,41,6,WNW,13,1025.1
5661.48,MEDIUM,14.6,0,3,9.1,NNW,54,1:07,12.1,63,3,N,17,1024.1,18.3,31,2,W,22,1019.2
6595.54,MEDIUM,12.7,0.2,6.6,2.8,WNW,44,12:45,12.2,70,7,WNW,13,1022.8,14.2,62,7,WSW,17,1022.8
6849.04,EXTREME,11.9,0.4,2,3.3,SSW,30,11:13,11,87,7,W,9,1025.5,12.7,79,7,S,15,1024.8
6788.59,EXTREME,11.6,0.6,1.8,1.8,N,24,2:41,10.4,82,7,NW,9,1026,15.1,53,7,N,13,1021.9
6344.8,HIGH,12.8,0,2.6,8.3,N,31,3:18,11.6,72,5,N,13,1023.3,16.7,50,2,N,17,1019.3
6331.48,MEDIUM,13,0.8,3.6,3.2,N,50,2:27,11.3,80,6,NNE,11,1016.7,16.7,51,3,N,28,1012.1
5705.47,MEDIUM,15.3,1,3.6,10.2,NW,33,11:24,13.9,64,0,NNW,13,1015.3,18.9,44,4,NW,13,1013.8
5325.33,MEDIUM,16.8,0,4,10.6,N,57,2:54,14.6,62,1,N,20,1014.5,21.6,37,1,NNW,37,1007.8
6708.96,HIGH,12.6,0.8,7,5.4,NW,50,12:12,11.2,67,3,WSW,11,1011.1,11.7,54,5,WSW,9,1012.2
6717.65,HIGH,9.8,10.4,4,6.2,S,39,9:38,10.8,53,7,SSE,17,1021.5,11.7,55,6,S,17,1021.6
6736.8,EXTREME,11.1,2.2,1.2,5.4,S,37,4:26,12.1,73,3,SSE,15,1023.3,13.4,59,6,SSW,17,1021.8
7126.76,EXTREME,9.2,1.2,2.4,1,SE,31,12:54,9.2,82,7,CALM,0,1022.7,12.2,55,7,SSE,13,1020.3
6769.89,EXTREME,9.1,0,1.2,3.8,SSW,15,12:18,7.7,88,7,CALM,0,1020,12.8,65,7,SSE,7,1017.4
5716.32,MEDIUM,11.6,0,1.6,9.6,N,39,1:14,9.1,80,1,N,7,1018.6,17.4,31,3,NNW,24,1013.5
6227.89,EXTREME,12.6,0.6,6.4,4.3,NNE,33,1:50,10.6,79,7,N,13,1011.4,12.8,84,7,S,6,1010.4
6072.91,HIGH,12,4,1.4,7.4,NNW,50,2:04,11.1,70,7,N,15,1016.1,16.8,45,1,NNW,28,1013.2
5779.56,MEDIUM,15.6,0,5.8,3.6,N,61,4:29,13.5,53,7,N,17,1013.8,19.4,43,6,N,30,1012.2
